┌────────────┬──────────┬─────────────┬───────────────┬─────────────┬──────────────────────────────────┬──────────────┐
│ passage_id │ piece_id │ granularity │ start_measure │ end_measure │           description            │ num_measures │
├────────────┼──────────┼─────────────┼───────────────┼─────────────┼──────────────────────────────────┼──────────────┤
│ P-001      │ 1        │ bar         │ 87            │ 87          │ K.279, Mvmt 1, m.87              │ 1            │
│ P-002      │ 4        │ bar         │ 27            │ 27          │ K.280, Mvmt 1, m.27              │ 1            │
│ P-003      │ 7        │ bar         │ 85            │ 85          │ K.281, Mvmt 1, m.85              │ 1            │
│ P-004      │ 12       │ bar         │ 56            │ 56          │ K.282, Mvmt 3, m.56              │ 1            │
│ P-005      │ 15       │ bar         │ 95            │ 95          │ K.283, Mvmt 3, m.95              │ 1            │
│ P-006      │ 16       │ bar         │ 122           │ 122         │ K.284, Mvmt 1, m.122             │ 1            │
│ P-007      │ 19       │ bar         │ 79            │ 79          │ K.309, Mvmt 1, m.79              │ 1            │
│ P-008      │ 22       │ bar         │ 37            │ 37          │ K.310, Mvmt 1, m.37              │ 1            │
│ P-009      │ 25       │ bar         │ 97            │ 97          │ K.311, Mvmt 1, m.97              │ 1            │
│ P-010      │ 28       │ bar         │ 57            │ 57          │ K.330, Mvmt 1, m.57              │ 1            │
│ P-011      │ 36       │ bar         │ 165           │ 165         │ K.332, Mvmt 3, m.165             │ 1            │
│ P-012      │ 39       │ bar         │ 189           │ 189         │ K.333, Mvmt 3, m.189             │ 1            │
│ P-013      │ 42       │ bar         │ 65            │ 65          │ K.457, Mvmt 3, m.65              │ 1            │
│ P-014      │ 43       │ bar         │ 26            │ 26          │ K.545, Mvmt 1, m.26              │ 1            │
│ P-015      │ 48       │ bar         │ 101           │ 101         │ K.576, Mvmt 3, m.101             │ 1            │
│ P-016      │ 2        │ bar         │ 22            │ 22          │ K.279, Mvmt 2, m.22              │ 1            │
│ P-017      │ 3        │ bar         │ 135           │ 135         │ K.279, Mvmt 3, m.135             │ 1            │
│ P-018      │ 5        │ bar         │ 26            │ 26          │ K.280, Mvmt 2, m.26              │ 1            │
│ P-019      │ 6        │ bar         │ 171           │ 171         │ K.280, Mvmt 3, m.171             │ 1            │
│ P-020      │ 8        │ bar         │ 58            │ 58          │ K.281, Mvmt 2, m.58              │ 1            │
│ P-021      │ 9        │ bar         │ 124           │ 124         │ K.281, Mvmt 3, m.124             │ 1            │
│ P-022      │ 10       │ bar         │ 17            │ 17          │ K.282, Mvmt 1, m.17              │ 1            │
│ P-023      │ 13       │ bar         │ 42            │ 42          │ K.283, Mvmt 1, m.42              │ 1            │
│ P-024      │ 14       │ bar         │ 3             │ 3           │ K.283, Mvmt 2, m.3               │ 1            │
│ P-025      │ 17       │ bar         │ 76            │ 76          │ K.284, Mvmt 2, m.76              │ 1            │
│ P-026      │ 20       │ bar         │ 34            │ 34          │ K.309, Mvmt 2, m.34              │ 1            │
│ P-027      │ 21       │ bar         │ 10            │ 10          │ K.309, Mvmt 3, m.10              │ 1            │
│ P-028      │ 23       │ bar         │ 33            │ 33          │ K.310, Mvmt 2, m.33              │ 1            │
│ P-029      │ 24       │ bar         │ 164           │ 164         │ K.310, Mvmt 3, m.164             │ 1            │
│ P-030      │ 26       │ bar         │ 55            │ 55          │ K.311, Mvmt 2, m.55              │ 1            │
│ P-031      │ 27       │ bar         │ 39            │ 39          │ K.311, Mvmt 3, m.39              │ 1            │
│ P-032      │ 30       │ bar         │ 108           │ 108         │ K.330, Mvmt 3, m.108             │ 1            │
│ P-033      │ 32       │ bar         │ 22            │ 22          │ K.331, Mvmt 2, m.22              │ 1            │
│ P-034      │ 34       │ bar         │ 31            │ 31          │ K.332, Mvmt 1, m.31              │ 1            │
│ P-035      │ 35       │ bar         │ 32            │ 32          │ K.332, Mvmt 2, m.32              │ 1            │
│ P-036      │ 37       │ bar         │ 158           │ 158         │ K.333, Mvmt 1, m.158             │ 1            │
│ P-037      │ 38       │ bar         │ 47            │ 47          │ K.333, Mvmt 2, m.47              │ 1            │
│ P-038      │ 40       │ bar         │ 125           │ 125         │ K.457, Mvmt 1, m.125             │ 1            │
│ P-039      │ 41       │ bar         │ 40            │ 40          │ K.457, Mvmt 2, m.40              │ 1            │
│ P-040      │ 44       │ bar         │ 9             │ 9           │ K.545, Mvmt 2, m.9               │ 1            │
│ P-041      │ 45       │ bar         │ 31            │ 31          │ K.545, Mvmt 3, m.31              │ 1            │
│ P-042      │ 46       │ bar         │ 35            │ 35          │ K.576, Mvmt 1, m.35              │ 1            │
│ P-043      │ 47       │ bar         │ 44            │ 44          │ K.576, Mvmt 2, m.44              │ 1            │
│ P-044      │ 33       │ bar         │ 59            │ 59          │ K.331, Mvmt 3, m.59              │ 1            │
│ P-045      │ 11       │ bar         │ 36            │ 36          │ K.282, Mvmt 2, m.36              │ 1            │
│ P-046      │ 29       │ bar         │ 44            │ 44          │ K.330, Mvmt 2, m.44              │ 1            │
│ P-047      │ 43       │ bar         │ 1             │ 4           │ K.545, Mvmt 1, m.1               │ 4            │
│ P-048      │ 43       │ bar         │ 1             │ 1           │ K.545, Mvmt 1, m.1               │ 1            │
│ P-049      │ 43       │ bar         │ 2             │ 2           │ K.545, Mvmt 1, m.2               │ 1            │
│ P-050      │ 43       │ bar         │ 3             │ 3           │ K.545, Mvmt 1, m.3               │ 1            │
│ P-051      │ 43       │ bar         │ 1             │ 73          │ Entire movement 1 for scope test │ 73           │
└────────────┴──────────┴─────────────┴───────────────┴─────────────┴──────────────────────────────────┴──────────────┘
