question_id,passage_id,format,run,expected_answer,extracted_answer,is_correct,success,duration_seconds
Q-001,P-001,abc,1,16,16,True,True,3.5235331058502197
Q-002,P-001,abc,1,8,9,False,True,3.6958038806915283
Q-003,P-001,abc,1,F5,F4,False,True,2.274671792984009
Q-004,P-001,abc,1,F4,C3,False,True,2.0638139247894287
Q-005,P-001,abc,1,1.5,1,False,True,2.2113499641418457
Q-006,P-001,abc,1,5,4,False,True,3.3502109050750732
Q-007,P-001,abc,1,1,5,False,True,2.067500114440918
Q-008,P-001,abc,1,0,0,True,True,1.7967309951782227
Q-009,P-001,abc,1,0.25,1,False,True,1.924623966217041
Q-010,P-002,abc,1,24,7,False,True,3.443605899810791
Q-011,P-002,abc,1,2,2,True,True,2.8161258697509766
Q-012,P-002,abc,1,E5,D5,False,True,2.1822526454925537
Q-013,P-002,abc,1,F3,F2,False,True,1.9742112159729004
Q-014,P-002,abc,1,0.33,1,False,True,1.9562108516693115
Q-015,P-002,abc,1,3,3,True,True,1.8683209419250488
Q-016,P-002,abc,1,2,0,False,True,2.0657429695129395
Q-017,P-002,abc,1,4,4,True,True,3.1613388061523438
Q-018,P-002,abc,1,0.33,0.33,True,True,1.7872130870819092
Q-019,P-003,abc,1,0,0,True,True,2.91499924659729
Q-020,P-003,abc,1,1,1,True,True,2.2040538787841797
Q-021,P-003,abc,1,G5,G4,False,True,2.5130839347839355
Q-022,P-003,abc,1,N/A,N/A,True,True,2.678201198577881
Q-023,P-003,abc,1,0.5,1.5,False,True,1.9926989078521729
Q-024,P-003,abc,1,N/A,0,False,True,2.3439559936523438
Q-025,P-003,abc,1,0,0,True,True,2.4708681106567383
Q-026,P-003,abc,1,3,3,True,True,2.3393502235412598
Q-027,P-003,abc,1,N/A,2,False,True,2.411884069442749
Q-028,P-004,abc,1,6,3,False,True,3.03688383102417
Q-029,P-004,abc,1,0,0,True,True,1.9098832607269287
Q-030,P-004,abc,1,N/A,N/A,True,True,2.3302559852600098
Q-031,P-004,abc,1,C2,"C,,2",True,True,2.0007731914520264
Q-032,P-004,abc,1,1,1,True,True,2.6770896911621094
Q-033,P-004,abc,1,3,3,True,True,3.8914859294891357
Q-034,P-004,abc,1,N/A,0,False,True,1.627441167831421
Q-035,P-004,abc,1,1,1,True,True,2.1122050285339355
Q-036,P-004,abc,1,1,1,True,True,2.2563986778259277
Q-037,P-005,abc,1,3,3,True,True,1.9452509880065918
Q-038,P-005,abc,1,5,6,False,True,2.030269145965576
Q-039,P-005,abc,1,Eb5,E5,False,True,2.591991901397705
Q-040,P-005,abc,1,Eb4,Gb2,False,True,2.919816255569458
Q-041,P-005,abc,1,2,2,True,True,2.061065196990967
Q-042,P-005,abc,1,3,3,True,True,1.6785929203033447
Q-043,P-005,abc,1,3,4,False,True,2.406728982925415
Q-044,P-005,abc,1,4,4,True,True,3.141084909439087
Q-045,P-005,abc,1,1,2,False,True,1.8575890064239502
Q-046,P-006,abc,1,4,3,False,True,2.4137229919433594
Q-047,P-006,abc,1,6,6,True,True,1.917449951171875
Q-048,P-006,abc,1,G4,G4,True,True,2.829672336578369
Q-049,P-006,abc,1,A3,B0,False,True,6.210485935211182
Q-050,P-006,abc,1,1,2,False,True,1.8708431720733643
Q-051,P-006,abc,1,4,3,False,True,1.8566899299621582
Q-052,P-006,abc,1,2,2,True,True,1.892853021621704
Q-053,P-006,abc,1,0,0,True,True,2.3788681030273438
Q-054,P-006,abc,1,1,1,True,True,1.8961617946624756
Q-055,P-007,abc,1,9,8,False,True,1.8846521377563477
Q-056,P-007,abc,1,9,12,False,True,2.0446488857269287
Q-057,P-007,abc,1,A4,A4,True,True,2.09073805809021
Q-058,P-007,abc,1,A2,"A,,1",False,True,3.2948567867279053
Q-059,P-007,abc,1,0.5,2,False,True,2.269876003265381
Q-060,P-007,abc,1,6,6,True,True,2.0682461261749268
Q-061,P-007,abc,1,4,7,False,True,3.088334083557129
Q-062,P-007,abc,1,2,4,False,True,1.9968810081481934
Q-063,P-007,abc,1,0.5,0.125,False,True,2.758857011795044
Q-064,P-008,abc,1,2,2,True,True,1.8467259407043457
Q-065,P-008,abc,1,2,2,True,True,1.874802827835083
Q-066,P-008,abc,1,Ab4,A4,False,True,2.255094051361084
Q-067,P-008,abc,1,Bb2,"B,,0",False,True,2.6279067993164062
Q-068,P-008,abc,1,0.5,2,False,True,2.9452950954437256
Q-069,P-008,abc,1,2,2,True,True,3.3169541358947754
Q-070,P-008,abc,1,0,0,True,True,1.888031005859375
Q-071,P-008,abc,1,4,4,True,True,2.6282522678375244
Q-072,P-008,abc,1,0.5,2,False,True,3.302020788192749
Q-073,P-009,abc,1,12,12,True,True,4.454447269439697
Q-074,P-009,abc,1,6,6,True,True,1.7733821868896484
Q-075,P-009,abc,1,F5,F5,True,True,1.926084041595459
Q-076,P-009,abc,1,A3,Bb2,False,True,2.9554929733276367
Q-077,P-009,abc,1,1,2,False,True,2.065441131591797
Q-078,P-009,abc,1,5,3,False,True,2.6785199642181396
Q-079,P-009,abc,1,5,7,False,True,4.318665981292725
Q-080,P-009,abc,1,0,0,True,True,2.267346143722534
Q-081,P-009,abc,1,0.33,0.33,True,True,2.189476251602173
Q-082,P-010,abc,1,8,4,False,True,3.788975238800049
Q-083,P-010,abc,1,8,5,False,True,1.8638811111450195
Q-084,P-010,abc,1,Bb4,B4,False,True,3.2899441719055176
Q-085,P-010,abc,1,Cb4,C3,False,True,2.8971049785614014
Q-086,P-010,abc,1,1,4,False,True,2.582803249359131
Q-087,P-010,abc,1,4,3,False,True,2.1542961597442627
Q-088,P-010,abc,1,2,2,True,True,3.221562147140503
Q-089,P-010,abc,1,0,0,True,True,2.343065023422241
Q-090,P-010,abc,1,1,1,True,True,3.195965051651001
Q-091,P-011,abc,1,2,2,True,True,2.571404218673706
Q-092,P-011,abc,1,6,6,True,True,1.8576550483703613
Q-093,P-011,abc,1,F5,F5,True,True,3.7166459560394287
Q-094,P-011,abc,1,F3,D3,False,True,2.080832004547119
Q-095,P-011,abc,1,1,2,False,True,2.854407787322998
Q-096,P-011,abc,1,2,2,True,True,3.6866588592529297
Q-097,P-011,abc,1,1,7,False,True,3.008679151535034
Q-098,P-011,abc,1,3,6,False,True,2.242269992828369
Q-099,P-011,abc,1,1,2,False,True,2.54971981048584
Q-100,P-012,abc,1,8,8,True,True,7.668371915817261
Q-101,P-012,abc,1,4,6,False,True,4.285968065261841
Q-102,P-012,abc,1,C5,C5,True,True,2.0649681091308594
Q-103,P-012,abc,1,B3,G3,False,True,2.064175844192505
Q-104,P-012,abc,1,0.5,2,False,True,2.156369924545288
Q-105,P-012,abc,1,5,5,True,True,2.7870681285858154
Q-106,P-012,abc,1,5,5,True,True,1.8667809963226318
Q-107,P-012,abc,1,0,0,True,True,2.3042056560516357
Q-108,P-012,abc,1,0.25,1,False,True,2.0292727947235107
Q-109,P-013,abc,1,8,7,False,True,2.266179084777832
Q-110,P-013,abc,1,12,8,False,True,2.4690678119659424
Q-111,P-013,abc,1,B4,B4,True,True,2.0762460231781006
Q-112,P-013,abc,1,G3,"A,1",False,True,1.9104011058807373
Q-113,P-013,abc,1,2,3,False,True,2.4233510494232178
Q-114,P-013,abc,1,6,6,True,True,2.0613949298858643
Q-115,P-013,abc,1,2,12,False,True,2.0643889904022217
Q-116,P-013,abc,1,0,1,False,True,2.471735954284668
Q-117,P-013,abc,1,1,1,True,True,2.077275037765503
Q-118,P-014,abc,1,22,16,False,True,2.7818939685821533
Q-119,P-014,abc,1,7,8,False,True,1.942209005355835
Q-120,P-014,abc,1,C5,C5,True,True,1.96352219581604
Q-121,P-014,abc,1,G2,"B,,,",False,True,2.1199629306793213
Q-122,P-014,abc,1,1,4,False,True,1.9927101135253906
Q-123,P-014,abc,1,6,6,True,True,3.003389835357666
Q-124,P-014,abc,1,5,1,False,True,2.2713887691497803
Q-125,P-014,abc,1,0,0,True,True,3.4940319061279297
Q-126,P-014,abc,1,0.25,0.25,True,True,2.3593530654907227
Q-127,P-015,abc,1,6,3,False,True,2.383924961090088
Q-128,P-015,abc,1,6,6,True,True,1.7598876953125
Q-129,P-015,abc,1,E5,C5,False,True,2.36308217048645
Q-130,P-015,abc,1,E3,E2,False,True,2.068514108657837
Q-131,P-015,abc,1,0.5,0.33,False,True,6.308945178985596
Q-132,P-015,abc,1,2,2,True,True,1.7509269714355469
Q-133,P-015,abc,1,9,0,False,True,2.2293701171875
Q-134,P-015,abc,1,0,0,True,True,3.0927541255950928
Q-135,P-015,abc,1,0.5,0.33,False,True,2.315429210662842
Q-136,P-016,abc,1,2,1,False,True,2.0804247856140137
Q-137,P-016,abc,1,14,8,False,True,1.9958291053771973
Q-138,P-016,abc,1,B5,B4,False,True,2.058626890182495
Q-139,P-016,abc,1,G2,"G,,2",True,True,2.277061939239502
Q-140,P-016,abc,1,1,4,False,True,3.702681064605713
Q-141,P-016,abc,1,1,1,True,True,1.689767837524414
Q-142,P-016,abc,1,3,10,False,True,2.1230478286743164
Q-143,P-016,abc,1,3,3,True,True,2.789390802383423
Q-144,P-016,abc,1,1,1,True,True,2.0847768783569336
Q-145,P-017,abc,1,8,5,False,True,2.248699188232422
Q-146,P-017,abc,1,15,10,False,True,2.070117235183716
Q-147,P-017,abc,1,A4,A4,True,True,3.746805191040039
Q-148,P-017,abc,1,B2,"B,1",False,True,2.787175178527832
Q-149,P-017,abc,1,1,4,False,True,8.462033033370972
Q-150,P-017,abc,1,3,3,True,True,3.290663957595825
Q-151,P-017,abc,1,5,0,False,True,2.0645229816436768
Q-152,P-017,abc,1,1,2,False,True,1.867983102798462
Q-153,P-017,abc,1,1,4,False,True,1.8468658924102783
Q-154,P-018,abc,1,2,1,False,True,2.0697319507598877
Q-155,P-018,abc,1,7,7,True,True,4.113316059112549
Q-156,P-018,abc,1,A5,C5,False,True,2.178576707839966
Q-157,P-018,abc,1,D#2,D#1,False,True,2.979109764099121
Q-158,P-018,abc,1,1,2,False,True,5.565490007400513
Q-159,P-018,abc,1,1,1,True,True,3.0729589462280273
Q-160,P-018,abc,1,9,17,False,True,2.8597939014434814
Q-161,P-018,abc,1,3,7,False,True,3.113793134689331
Q-162,P-018,abc,1,1,2,False,True,4.41490912437439
Q-163,P-019,abc,1,10,10,True,True,1.9036879539489746
Q-164,P-019,abc,1,6,5,False,True,2.183382034301758
Q-165,P-019,abc,1,C5,C5,True,True,2.824902296066284
Q-166,P-019,abc,1,D4,D2,False,True,2.194939136505127
Q-167,P-019,abc,1,1,4,False,True,2.143373966217041
Q-168,P-019,abc,1,2,2,True,True,1.7278327941894531
Q-169,P-019,abc,1,11,12,False,True,1.965688943862915
Q-170,P-019,abc,1,2,3,False,True,1.886415719985962
Q-171,P-019,abc,1,0.5,0,False,True,2.2704360485076904
Q-172,P-020,abc,1,8,8,True,True,2.2713658809661865
Q-173,P-020,abc,1,5,6,False,True,2.888381004333496
Q-174,P-020,abc,1,B4,B4,True,True,2.268336772918701
Q-175,P-020,abc,1,C4,C2,False,True,2.146475076675415
Q-176,P-020,abc,1,1.5,1.5,True,True,2.186859130859375
Q-177,P-020,abc,1,3,3,True,True,2.8832058906555176
Q-178,P-020,abc,1,13,12,False,True,2.4734950065612793
Q-179,P-020,abc,1,0,0,True,True,2.0637729167938232
Q-180,P-020,abc,1,0.25,0.25,True,True,2.6788270473480225
Q-181,P-021,abc,1,4,5,False,True,4.732202053070068
Q-182,P-021,abc,1,16,16,True,True,2.271099090576172
Q-183,P-021,abc,1,E5,E5,True,True,1.8972551822662354
Q-184,P-021,abc,1,E3,C2,False,True,2.2249300479888916
Q-185,P-021,abc,1,2,2,True,True,1.8645410537719727
Q-186,P-021,abc,1,3,4,False,True,2.405363082885742
Q-187,P-021,abc,1,11,0,False,True,2.7435688972473145
Q-188,P-021,abc,1,1,5,False,True,2.690241813659668
Q-189,P-021,abc,1,1,1,True,True,3.6074819564819336
Q-190,P-022,abc,1,20,5,False,True,1.945051908493042
Q-191,P-022,abc,1,7,6,False,True,1.8695449829101562
Q-192,P-022,abc,1,E4,E5,False,True,2.059769868850708
Q-193,P-022,abc,1,F2,"F,,2",True,True,2.472568988800049
Q-194,P-022,abc,1,1,4,False,True,1.794555902481079
Q-195,P-022,abc,1,3,3,True,True,2.5466229915618896
Q-196,P-022,abc,1,2,5,False,True,6.163806915283203
Q-197,P-022,abc,1,1,1,True,True,2.2676422595977783
Q-198,P-022,abc,1,0.5,0,False,True,1.8546831607818604
Q-199,P-023,abc,1,0,0,True,True,2.0662028789520264
Q-200,P-023,abc,1,4,4,True,True,2.0609512329101562
Q-201,P-023,abc,1,D5,D5,True,True,2.0697951316833496
Q-202,P-023,abc,1,N/A,N/A,True,True,2.472564935684204
Q-203,P-023,abc,1,0.5,1,False,True,1.920712947845459
Q-204,P-023,abc,1,N/A,0,False,True,2.0059828758239746
Q-205,P-023,abc,1,5,5,True,True,2.061397075653076
Q-206,P-023,abc,1,1,1,True,True,3.414977788925171
Q-207,P-023,abc,1,N/A,2,False,True,3.172308921813965
Q-208,P-024,abc,1,16,16,True,True,1.8151512145996094
Q-209,P-024,abc,1,7,10,False,True,2.3380661010742188
Q-210,P-024,abc,1,A4,A4,True,True,2.2398300170898438
Q-211,P-024,abc,1,D2,"D,,,",False,True,2.0624759197235107
Q-212,P-024,abc,1,1,4,False,True,2.373887062072754
Q-213,P-024,abc,1,4,4,True,True,2.371056079864502
Q-214,P-024,abc,1,9,17,False,True,2.2704081535339355
Q-215,P-024,abc,1,1,2,False,True,1.9509801864624023
Q-216,P-024,abc,1,0.25,0.25,True,True,2.786710023880005
Q-217,P-025,abc,1,8,6,False,True,3.0888612270355225
Q-218,P-025,abc,1,9,7,False,True,2.2693071365356445
Q-219,P-025,abc,1,A4,A4,True,True,1.8613078594207764
Q-220,P-025,abc,1,E3,"A,1",False,True,2.065615177154541
Q-221,P-025,abc,1,0.75,2,False,True,2.8832828998565674
Q-222,P-025,abc,1,5,4,False,True,2.1902527809143066
