question_id,passage_id,format,run,expected_answer,extracted_answer,is_correct,success,duration_seconds
Q-001,P-001,abc,1,16,16,True,True,0.0
Q-002,P-001,abc,1,8,12,False,True,0.0
Q-003,P-001,abc,1,F5,F5,True,True,0.0
Q-004,P-001,abc,1,F4,A2,False,True,0.0
Q-005,P-001,abc,1,1.5,1,False,True,0.0
Q-006,P-001,abc,1,5,4,False,True,0.0
Q-007,P-001,abc,1,1,2,False,True,0.0
Q-008,P-001,abc,1,0,0,True,True,0.0
Q-009,P-001,abc,1,0.25,0.25,True,True,0.0
Q-010,P-002,abc,1,24,9,False,True,0.0
Q-011,P-002,abc,1,2,2,True,True,0.0
Q-012,P-002,abc,1,E5,E5,True,True,0.0
Q-013,P-002,abc,1,F3,F3,True,True,0.0
Q-014,P-002,abc,1,0.33,0.33,True,True,0.0
Q-015,P-002,abc,1,3,3,True,True,0.0
Q-016,P-002,abc,1,2,0,False,True,0.0
Q-017,P-002,abc,1,4,4,True,True,0.0
Q-018,P-002,abc,1,0.33,0.33,True,True,0.0
Q-019,P-003,abc,1,0,0,True,True,0.0
Q-020,P-003,abc,1,1,1,True,True,0.0
Q-021,P-003,abc,1,G5,G5,True,True,0.0
Q-022,P-003,abc,1,N/A,N/A,True,True,0.0
Q-023,P-003,abc,1,0.5,N/A,False,True,0.0
Q-024,P-003,abc,1,N/A,0,False,True,0.0
Q-025,P-003,abc,1,0,N/A,False,True,0.0
Q-026,P-003,abc,1,3,3,True,True,0.0
Q-027,P-003,abc,1,N/A,0.5,False,True,0.0
Q-028,P-004,abc,1,6,6,True,True,0.0
Q-029,P-004,abc,1,0,0,True,True,0.0
Q-030,P-004,abc,1,N/A,N/A,True,True,0.0
Q-031,P-004,abc,1,C2,C2,True,True,0.0
Q-032,P-004,abc,1,1,0.25,False,True,0.0
Q-033,P-004,abc,1,3,3,True,True,0.0
Q-034,P-004,abc,1,N/A,0,False,True,0.0
Q-035,P-004,abc,1,1,1,True,True,0.0
Q-036,P-004,abc,1,1,1,True,True,0.0
Q-037,P-005,abc,1,3,3,True,True,0.0
Q-038,P-005,abc,1,5,6,False,True,0.0
Q-039,P-005,abc,1,Eb5,E5,False,True,0.0
Q-040,P-005,abc,1,Eb4,Gb2,False,True,0.0
Q-041,P-005,abc,1,2,0.25,False,True,0.0
Q-042,P-005,abc,1,3,3,True,True,0.0
Q-043,P-005,abc,1,3,1,False,True,0.0
Q-044,P-005,abc,1,4,5,False,True,0.0
Q-045,P-005,abc,1,1,0.5,False,True,0.0
Q-046,P-006,abc,1,4,6,False,True,0.0
Q-047,P-006,abc,1,6,6,True,True,0.0
Q-048,P-006,abc,1,G4,G5,False,True,0.0
Q-049,P-006,abc,1,A3,A2,False,True,0.0
Q-050,P-006,abc,1,1,1,True,True,0.0
Q-051,P-006,abc,1,4,3,False,True,0.0
Q-052,P-006,abc,1,2,3,False,True,0.0
Q-053,P-006,abc,1,0,0,True,True,0.0
Q-054,P-006,abc,1,1,1,True,True,0.0
Q-055,P-007,abc,1,9,12,False,True,0.0
Q-056,P-007,abc,1,9,12,False,True,0.0
Q-057,P-007,abc,1,A4,A4,True,True,0.0
Q-058,P-007,abc,1,A2,A1,False,True,0.0
Q-059,P-007,abc,1,0.5,0.5,True,True,0.0
Q-060,P-007,abc,1,6,6,True,True,0.0
Q-061,P-007,abc,1,4,7,False,True,0.0
Q-062,P-007,abc,1,2,2,True,True,0.0
Q-063,P-007,abc,1,0.5,0.5,True,True,0.0
Q-064,P-008,abc,1,2,2,True,True,0.0
Q-065,P-008,abc,1,2,2,True,True,0.0
Q-066,P-008,abc,1,Ab4,A4,False,True,0.0
Q-067,P-008,abc,1,Bb2,B1,False,True,0.0
Q-068,P-008,abc,1,0.5,0.5,True,True,0.0
Q-069,P-008,abc,1,2,2,True,True,0.0
Q-070,P-008,abc,1,0,0,True,True,0.0
Q-071,P-008,abc,1,4,4,True,True,0.0
Q-072,P-008,abc,1,0.5,0.5,True,True,0.0
Q-073,P-009,abc,1,12,12,True,True,0.0
Q-074,P-009,abc,1,6,7,False,True,0.0
Q-075,P-009,abc,1,F5,F5,True,True,0.0
Q-076,P-009,abc,1,A3,B3,False,True,0.0
Q-077,P-009,abc,1,1,0.5,False,True,0.0
Q-078,P-009,abc,1,5,4,False,True,0.0
Q-079,P-009,abc,1,5,3,False,True,0.0
Q-080,P-009,abc,1,0,0,True,True,0.0
Q-081,P-009,abc,1,0.33,0.17,False,True,0.0
