model,provider,question_id,passage_id,format,run,expected_answer,extracted_answer,is_correct,success,error,duration_seconds,input_tokens,output_tokens
gpt-5.1-2025-11-13,openai,Q-001,P-001,abc,1,16,16,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-002,P-001,abc,1,8,12,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-003,P-001,abc,1,F5,F5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-004,P-001,abc,1,F4,A2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-005,P-001,abc,1,1.5,1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-006,P-001,abc,1,5,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-007,P-001,abc,1,1,2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-008,P-001,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-009,P-001,abc,1,0.25,0.25,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-010,P-002,abc,1,24,9,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-011,P-002,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-012,P-002,abc,1,E5,E5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-013,P-002,abc,1,F3,F3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-014,P-002,abc,1,0.33,0.33,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-015,P-002,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-016,P-002,abc,1,2,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-017,P-002,abc,1,4,4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-018,P-002,abc,1,0.33,0.33,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-019,P-003,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-020,P-003,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-021,P-003,abc,1,G5,G5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-022,P-003,abc,1,N/A,N/A,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-023,P-003,abc,1,0.5,N/A,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-024,P-003,abc,1,N/A,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-025,P-003,abc,1,0,N/A,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-026,P-003,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-027,P-003,abc,1,N/A,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-028,P-004,abc,1,6,6,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-029,P-004,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-030,P-004,abc,1,N/A,N/A,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-031,P-004,abc,1,C2,C2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-032,P-004,abc,1,1,0.25,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-033,P-004,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-034,P-004,abc,1,N/A,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-035,P-004,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-036,P-004,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-037,P-005,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-038,P-005,abc,1,5,6,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-039,P-005,abc,1,Eb5,E5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-040,P-005,abc,1,Eb4,Gb2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-041,P-005,abc,1,2,0.25,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-042,P-005,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-043,P-005,abc,1,3,1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-044,P-005,abc,1,4,5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-045,P-005,abc,1,1,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-046,P-006,abc,1,4,6,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-047,P-006,abc,1,6,6,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-048,P-006,abc,1,G4,G5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-049,P-006,abc,1,A3,A2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-050,P-006,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-051,P-006,abc,1,4,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-052,P-006,abc,1,2,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-053,P-006,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-054,P-006,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-055,P-007,abc,1,9,12,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-056,P-007,abc,1,9,12,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-057,P-007,abc,1,A4,A4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-058,P-007,abc,1,A2,A1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-059,P-007,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-060,P-007,abc,1,6,6,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-061,P-007,abc,1,4,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-062,P-007,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-063,P-007,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-064,P-008,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-065,P-008,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-066,P-008,abc,1,Ab4,A4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-067,P-008,abc,1,Bb2,B1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-068,P-008,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-069,P-008,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-070,P-008,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-071,P-008,abc,1,4,4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-072,P-008,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-073,P-009,abc,1,12,12,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-074,P-009,abc,1,6,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-075,P-009,abc,1,F5,F5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-076,P-009,abc,1,A3,B3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-077,P-009,abc,1,1,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-078,P-009,abc,1,5,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-079,P-009,abc,1,5,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-080,P-009,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-081,P-009,abc,1,0.33,0.17,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-082,P-010,abc,1,8,8,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-083,P-010,abc,1,8,9,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-084,P-010,abc,1,Bb4,Bb4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-085,P-010,abc,1,Cb4,C4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-086,P-010,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-087,P-010,abc,1,4,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-088,P-010,abc,1,2,0,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-089,P-010,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-090,P-010,abc,1,1,0.25,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-091,P-011,abc,1,2,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-092,P-011,abc,1,6,6,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-093,P-011,abc,1,F5,F5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-094,P-011,abc,1,F3,D3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-095,P-011,abc,1,1,0.5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-096,P-011,abc,1,2,2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-097,P-011,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-098,P-011,abc,1,3,3,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-099,P-011,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-100,P-012,abc,1,8,8,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-101,P-012,abc,1,4,4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-102,P-012,abc,1,C5,C5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-103,P-012,abc,1,B3,G3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-104,P-012,abc,1,0.5,0.5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-105,P-012,abc,1,5,5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-106,P-012,abc,1,5,4,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-107,P-012,abc,1,0,0,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-108,P-012,abc,1,0.25,0.25,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-109,P-013,abc,1,8,7,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-110,P-013,abc,1,12,11,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-111,P-013,abc,1,B4,B4,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-112,P-013,abc,1,G3,G2,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-113,P-013,abc,1,2,1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-114,P-013,abc,1,6,5,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-115,P-013,abc,1,2,3,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-116,P-013,abc,1,0,1,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-117,P-013,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-118,P-014,abc,1,22,24,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-119,P-014,abc,1,7,9,False,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-120,P-014,abc,1,C5,C5,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-121,P-014,abc,1,G2,G2,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-122,P-014,abc,1,1,1,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-123,P-014,abc,1,6,6,True,True,,0.0,,
gpt-5.1-2025-11-13,openai,Q-124,P-014,abc,1,5,1,False,True,,0.0,,
