question_id,passage_id,format,run,expected_answer,extracted_answer,is_correct,success,duration_seconds
Q-001,P-001,abc,1,16,16,True,True,7.551480054855347
Q-002,P-001,abc,1,8,8,True,True,18.696848154067993
Q-003,P-001,abc,1,F5,F4,False,True,67.89638185501099
Q-004,P-001,abc,1,F4,F4,True,True,99.46047830581665
Q-005,P-001,abc,1,1.5,1.5,True,True,16.001232862472534
Q-006,P-001,abc,1,5,5,True,True,6.112637281417847
Q-007,P-001,abc,1,1,1,True,True,34.684903144836426
Q-008,P-001,abc,1,0,0,True,True,6.606402158737183
Q-009,P-001,abc,1,0.25,0.25,True,True,10.1382737159729
Q-010,P-002,abc,1,24,24,True,True,27.95688796043396
Q-011,P-002,abc,1,2,2,True,True,8.826178073883057
Q-012,P-002,abc,1,E5,E4,False,True,85.35967016220093
Q-013,P-002,abc,1,F3,F3,True,True,63.49546480178833
Q-014,P-002,abc,1,0.33,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {},
          ""finish_reason"": ""MAX_TOKENS"",
          ""index"": 0
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 774,
        ""total_token_count"": 17157
      },
      ""model_version"": ""gemini-3-pro-preview""
    }),
)",False,True,165.0451192855835
Q-015,P-002,abc,1,3,3,True,True,7.309767723083496
Q-016,P-002,abc,1,2,2,True,True,58.38674783706665
Q-017,P-002,abc,1,4,4,True,True,38.521836042404175
Q-018,P-002,abc,1,0.33,0.33,True,True,48.157591104507446
Q-019,P-003,abc,1,0,0,True,True,4.719743013381958
Q-020,P-003,abc,1,1,1,True,True,5.344505071640015
Q-021,P-003,abc,1,G5,G4,False,True,45.057984828948975
Q-022,P-003,abc,1,N/A,N/A,True,True,6.120380163192749
Q-023,P-003,abc,1,0.5,0.5,True,True,9.945935010910034
Q-024,P-003,abc,1,N/A,0,False,True,9.407724142074585
Q-025,P-003,abc,1,0,0,True,True,54.496317863464355
Q-026,P-003,abc,1,3,3,True,True,5.138588905334473
Q-027,P-003,abc,1,N/A,N/A,True,True,8.34303593635559
Q-028,P-004,abc,1,6,6,True,True,7.469182014465332
Q-029,P-004,abc,1,0,0,True,True,6.8526411056518555
Q-030,P-004,abc,1,N/A,N/A,True,True,6.985553741455078
Q-031,P-004,abc,1,C2,C2,True,True,8.746364831924438
Q-032,P-004,abc,1,1,1,True,True,6.573776006698608
Q-033,P-004,abc,1,3,3,True,True,6.970353841781616
Q-034,P-004,abc,1,N/A,N/A,True,True,6.486638069152832
Q-035,P-004,abc,1,1,1,True,True,6.347700119018555
Q-036,P-004,abc,1,1,1,True,True,9.531118869781494
Q-037,P-005,abc,1,3,3,True,True,7.254181861877441
Q-038,P-005,abc,1,5,5,True,True,21.10291624069214
Q-039,P-005,abc,1,Eb5,Eb5,True,True,67.8090751171112
Q-040,P-005,abc,1,Eb4,Eb4,True,True,81.73833227157593
Q-041,P-005,abc,1,2,2,True,True,23.084219217300415
Q-042,P-005,abc,1,3,3,True,True,7.273898124694824
Q-043,P-005,abc,1,3,3,True,True,45.98454999923706
Q-044,P-005,abc,1,4,4,True,True,16.639779090881348
Q-045,P-005,abc,1,1,1,True,True,6.31575608253479
Q-046,P-006,abc,1,4,4,True,True,5.992172956466675
Q-047,P-006,abc,1,6,6,True,True,7.889559984207153
Q-048,P-006,abc,1,G4,G4,True,True,6.821538686752319
Q-049,P-006,abc,1,A3,A2,False,True,6.141528129577637
Q-050,P-006,abc,1,1,1,True,True,6.999236106872559
Q-051,P-006,abc,1,4,4,True,True,30.319556951522827
Q-052,P-006,abc,1,2,2,True,True,88.2883529663086
Q-053,P-006,abc,1,0,0,True,True,5.713430881500244
Q-054,P-006,abc,1,1,1,True,True,7.814455986022949
Q-055,P-007,abc,1,9,9,True,True,11.131102085113525
Q-056,P-007,abc,1,9,9,True,True,6.3515660762786865
Q-057,P-007,abc,1,A4,A4,True,True,28.629003047943115
Q-058,P-007,abc,1,A2,A2,True,True,57.63471007347107
Q-059,P-007,abc,1,0.5,0.5,True,True,22.565160989761353
Q-060,P-007,abc,1,6,6,True,True,24.81811022758484
Q-061,P-007,abc,1,4,4,True,True,32.35885691642761
Q-062,P-007,abc,1,2,2,True,True,7.998794078826904
Q-063,P-007,abc,1,0.5,0.5,True,True,8.12102484703064
Q-064,P-008,abc,1,2,2,True,True,7.007541179656982
Q-065,P-008,abc,1,2,2,True,True,4.860547065734863
Q-066,P-008,abc,1,Ab4,Ab4,True,True,11.225669145584106
Q-067,P-008,abc,1,Bb2,Bb2,True,True,17.222755193710327
Q-068,P-008,abc,1,0.5,0.5,True,True,13.248048782348633
Q-069,P-008,abc,1,2,2,True,True,6.3273890018463135
Q-070,P-008,abc,1,0,0,True,True,53.39558410644531
Q-071,P-008,abc,1,4,4,True,True,6.572258949279785
Q-072,P-008,abc,1,0.5,0.5,True,True,8.621884822845459
Q-073,P-009,abc,1,12,12,True,True,7.239748001098633
Q-074,P-009,abc,1,6,6,True,True,12.64839506149292
Q-075,P-009,abc,1,F5,F5,True,True,29.330847024917603
Q-076,P-009,abc,1,A3,A3,True,True,55.314022064208984
Q-077,P-009,abc,1,1,1,True,True,11.567112922668457
Q-078,P-009,abc,1,5,5,True,True,9.244755029678345
Q-079,P-009,abc,1,5,5,True,True,45.76425504684448
Q-080,P-009,abc,1,0,0,True,True,7.645255088806152
Q-081,P-009,abc,1,0.33,0.33,True,True,19.472383975982666
Q-082,P-010,abc,1,8,8,True,True,13.334521055221558
Q-083,P-010,abc,1,8,8,True,True,23.946838855743408
Q-084,P-010,abc,1,Bb4,Bb4,True,True,24.837812900543213
Q-085,P-010,abc,1,Cb4,Cb4,True,True,50.674222230911255
Q-086,P-010,abc,1,1,1,True,True,26.980592966079712
Q-087,P-010,abc,1,4,4,True,True,51.8362500667572
Q-088,P-010,abc,1,2,2,True,True,57.61237812042236
Q-089,P-010,abc,1,0,0,True,True,5.913383960723877
Q-090,P-010,abc,1,1,1,True,True,31.358561754226685
Q-091,P-011,abc,1,2,2,True,True,7.18563985824585
Q-092,P-011,abc,1,6,6,True,True,8.216092109680176
Q-093,P-011,abc,1,F5,F5,True,True,9.02997088432312
Q-094,P-011,abc,1,F3,F2,False,True,8.2116539478302
Q-095,P-011,abc,1,1,1,True,True,8.493720054626465
Q-096,P-011,abc,1,2,2,True,True,8.204262018203735
Q-097,P-011,abc,1,1,1,True,True,24.30724596977234
Q-098,P-011,abc,1,3,3,True,True,6.1755688190460205
Q-099,P-011,abc,1,1,1,True,True,8.420639991760254
Q-100,P-012,abc,1,8,8,True,True,6.7357001304626465
Q-101,P-012,abc,1,4,4,True,True,6.412466049194336
Q-102,P-012,abc,1,C5,"response:
GenerateContentResponse(
    done=True,
    iterator=None,
    result=protos.GenerateContentResponse({
      ""candidates"": [
        {
          ""content"": {},
          ""finish_reason"": ""MAX_TOKENS"",
          ""index"": 0
        }
      ],
      ""usage_metadata"": {
        ""prompt_token_count"": 698,
        ""total_token_count"": 17081
      },
      ""model_version"": ""gemini-3-pro-preview""
    }),
)",False,True,166.32001614570618
Q-103,P-012,abc,1,B3,B3,True,True,9.800631046295166
Q-104,P-012,abc,1,0.5,0.5,True,True,12.72118616104126
Q-105,P-012,abc,1,5,5,True,True,14.003810167312622
Q-106,P-012,abc,1,5,5,True,True,39.85294318199158
Q-107,P-012,abc,1,0,0,True,True,6.531260013580322
Q-108,P-012,abc,1,0.25,0.25,True,True,8.631561994552612
Q-109,P-013,abc,1,8,8,True,True,14.51413106918335
Q-110,P-013,abc,1,12,12,True,True,6.364606857299805
Q-111,P-013,abc,1,B4,B4,True,True,27.673887968063354
Q-112,P-013,abc,1,G3,G3,True,True,66.30233597755432
Q-113,P-013,abc,1,2,2,True,True,9.531096935272217
Q-114,P-013,abc,1,6,6,True,True,36.66675686836243
Q-115,P-013,abc,1,2,2,True,True,77.84346294403076
Q-116,P-013,abc,1,0,0,True,True,5.151656150817871
Q-117,P-013,abc,1,1,1,True,True,24.894624710083008
Q-118,P-014,abc,1,22,22,True,True,10.653420209884644
Q-119,P-014,abc,1,7,7,True,True,7.925536155700684
Q-120,P-014,abc,1,C5,C5,True,True,6.928009986877441
Q-121,P-014,abc,1,G2,G2,True,True,99.6095039844513
Q-122,P-014,abc,1,1,1,True,True,15.995177984237671
Q-123,P-014,abc,1,6,6,True,True,9.237632989883423
Q-124,P-014,abc,1,5,5,True,True,53.51700186729431
Q-125,P-014,abc,1,0,0,True,True,4.892007827758789
Q-126,P-014,abc,1,0.25,0.25,True,True,60.02998089790344
Q-127,P-015,abc,1,6,6,True,True,7.995775938034058
Q-128,P-015,abc,1,6,6,True,True,10.925926208496094
Q-129,P-015,abc,1,E5,E4,False,True,21.690769910812378
Q-130,P-015,abc,1,E3,E2,False,True,30.12340784072876
Q-131,P-015,abc,1,0.5,0.5,True,True,9.21767282485962
Q-132,P-015,abc,1,2,2,True,True,6.6720898151397705
Q-133,P-015,abc,1,9,9,True,True,27.685636043548584
Q-134,P-015,abc,1,0,0,True,True,5.041701078414917
Q-135,P-015,abc,1,0.5,0.5,True,True,6.8421311378479
Q-136,P-016,abc,1,2,2,True,True,6.468597173690796
Q-137,P-016,abc,1,14,14,True,True,9.99015498161316
Q-138,P-016,abc,1,B5,B4,False,True,54.325663805007935
Q-139,P-016,abc,1,G2,G1,False,True,15.029895782470703
Q-140,P-016,abc,1,1,1,True,True,13.543633937835693
Q-141,P-016,abc,1,1,1,True,True,5.785576820373535
Q-142,P-016,abc,1,3,3,True,True,46.69481897354126
Q-143,P-016,abc,1,3,3,True,True,5.754233121871948
Q-144,P-016,abc,1,1,1,True,True,6.921874761581421
Q-145,P-017,abc,1,8,8,True,True,8.221886157989502
Q-146,P-017,abc,1,15,15,True,True,9.182874917984009
Q-147,P-017,abc,1,A4,A3,False,True,81.30573415756226
Q-148,P-017,abc,1,B2,B1,False,True,27.58160400390625
Q-149,P-017,abc,1,1,1,True,True,17.84971022605896
Q-150,P-017,abc,1,3,3,True,True,7.964723825454712
Q-151,P-017,abc,1,5,5,True,True,81.5766351222992
Q-152,P-017,abc,1,1,1,True,True,5.43984317779541
Q-153,P-017,abc,1,1,1,True,True,7.50127100944519
Q-154,P-018,abc,1,2,2,True,True,6.539880037307739
Q-155,P-018,abc,1,7,7,True,True,9.689235925674438
Q-156,P-018,abc,1,A5,A4,False,True,24.582931995391846
Q-157,P-018,abc,1,D#2,D#1,False,True,8.28137493133545
Q-158,P-018,abc,1,1,1,True,True,10.045593976974487
Q-159,P-018,abc,1,1,1,True,True,6.110891103744507
Q-160,P-018,abc,1,9,9,True,True,48.33132791519165
Q-161,P-018,abc,1,3,3,True,True,5.698735952377319
Q-162,P-018,abc,1,1,1,True,True,6.23938775062561
Q-163,P-019,abc,1,10,10,True,True,7.125455856323242
Q-164,P-019,abc,1,6,6,True,True,8.069469213485718
Q-165,P-019,abc,1,C5,C5,True,True,54.08930516242981
Q-166,P-019,abc,1,D4,D4,True,True,71.29243278503418
Q-167,P-019,abc,1,1,1,True,True,11.905862808227539
Q-168,P-019,abc,1,2,2,True,True,6.773019075393677
Q-169,P-019,abc,1,11,11,True,True,97.74776792526245
